env,algo,schedule,eval_mode,episodes__mean,episodes__std,reward_mean__mean,reward_mean__std,reward_std__mean,reward_std__std,identity_mean__mean,identity_mean__std,identity_std__mean,identity_std__std,id_drop_pre_to_shock__mean,id_drop_pre_to_shock__std,integrity_drop_pre_to_shock__mean,integrity_drop_pre_to_shock__std,meaning_drop_pre_to_shock__mean,meaning_drop_pre_to_shock__std,collapse_score_shock_mean__mean,collapse_score_shock_mean__std,collapse_event_shock__mean,collapse_event_shock__std,collapse_event_threshold__mean,collapse_event_threshold__std,collapse_rate_mean__mean,collapse_rate_mean__std,collapse_rate_pre__mean,collapse_rate_pre__std,collapse_rate_shock__mean,collapse_rate_shock__std,collapse_rate_post__mean,collapse_rate_post__std,reward_norm,leaderboard_score
ALE/Pong-v5,ppo,baseline,deterministic,120.0,0.0,-19.35833333333333,0.8035511461285112,1.957335213908813,0.6079514015190669,0.771792819978402,0.013120046373823614,0.01684727650531872,0.001460402167713995,0.006380278164676931,0.0041890828562502445,0.01346314285786333,0.02221753245627099,0.0,0.0,0.5831180612426674,0.11117315373415812,0.0,0.0,0.7207995975534722,0.04581122290387013,0.041666666666666644,0.04795187917120018,0.02,0.025819888974716113,0.052500000000000005,0.05827377912349029,0.052500000000000005,0.07016844811673628,1.0,0.8587360509881211
ALE/Pong-v5,a2c,baseline,deterministic,120.0,0.0,-21.0,0.0,0.0,0.0,0.9603489837176676,0.01563145658717343,0.00116291809387309,0.00017687159120816873,0.00164396378335008,0.00017710638452001217,-1.423627395480382e-05,0.0004686221778291409,0.0,0.0,0.6451872933017009,0.06983450792257982,0.0,0.0,0.6787719395508944,0.052548036043424146,0.17666666666666664,0.08523750406226963,0.05,0.0,0.24000000000000005,0.14729034063523802,0.24,0.12030054955079059,0.0,0.7561919410447172
ALE/Pong-v5,ppo,baseline,stochastic,120.0,0.0,-19.418333333333333,0.6869124874626308,1.9740610559512688,0.5948074204777858,0.7553836453743582,0.01129878850504924,0.01607319126481761,0.002736793632125423,0.00620639805834239,0.0033698668620930432,0.011419472296603311,0.016911018778532662,0.0,0.0,0.5924273130299779,0.0942014494611454,0.0,0.0,0.7339088514055087,0.039591785053228384,0.05583333333333331,0.054863748178533435,0.0325,0.023717082451262847,0.0725,0.08453303101943839,0.0625,0.0719278187568003,1.0,0.843711004955897
ALE/Pong-v5,a2c,baseline,stochastic,120.0,0.0,-19.944166666666668,0.41369402571656777,1.541682029371402,0.29858435183863635,0.749242228147046,0.02880115984426426,0.00869659712338717,0.002356379543960297,0.00570391622444241,0.0029578126244855295,0.00621563387557642,0.0066667974412152565,0.0,0.0,0.6430896187254864,0.09813758235899502,0.0,0.0,0.7363425220860147,0.028200885912114344,0.07166666666666663,0.05331596939560035,0.0325,0.023717082451262847,0.08249999999999999,0.06671872967082698,0.1,0.10137937550497034,0.0,0.6873332254808753
ALE/Pong-v5,ppo,concept_drift,deterministic,120.0,0.0,-19.393796734439267,0.6227791264086207,2.2257958115316763,0.5452093190456325,0.7084640076291147,0.017113395039629047,0.1015128048612928,0.022957315809733984,0.1950960541061404,0.04836386649788314,0.01830554263061662,0.02398748004231773,0.4996091119035399,0.14697100853976128,0.7002568478620714,0.08452842546164481,0.5,0.5270462766947299,0.7207995975534722,0.04581122290387013,0.17666666666666664,0.16721207056672038,0.035,0.03574601764921203,0.4225,0.4233546582555419,0.0725,0.09461177986323316,1.0,0.7129052041960131
ALE/Pong-v5,a2c,concept_drift,deterministic,120.0,0.0,-20.976465666055596,0.10737404614031268,0.7994833354892058,0.0650517687373328,0.9331384888595105,0.020492851198579954,0.043836418640954965,0.013973817270340827,0.0833687791857978,0.027571648219302924,0.00658673263367378,0.000741837104802216,0.3351189545684324,0.11347584549133626,0.7478152903400772,0.027135001533534698,0.7,0.48304589153964794,0.6787719395508944,0.052548036043424146,0.1433333333333333,0.11638855741135508,0.0125,0.03952847075210474,0.40750000000000003,0.32361886018380737,0.01,0.03162277660168379,0.0,0.6909761688727307
ALE/Pong-v5,ppo,concept_drift,stochastic,120.0,0.0,-19.24327946004718,0.9076158680901054,2.2298390924578224,0.5475073435896264,0.6972389133143414,0.017036229463973727,0.09636977268053004,0.02059384047318706,0.18359139675982075,0.0446327734504117,0.01096441144383297,0.012215396042862656,0.4996051023834494,0.14712426562052605,0.6867116491918093,0.07013088615874341,0.4,0.5163977794943222,0.7339088514055087,0.039591785053228384,0.1383333333333333,0.14557251809559166,0.032499999999999994,0.05143766454003654,0.34500000000000003,0.3743141876967945,0.0375,0.06373774391990981,1.0,0.7299814023228878
ALE/Pong-v5,a2c,concept_drift,stochastic,120.0,0.0,-20.01482371641203,0.4351956569008844,1.7473486309120658,0.3926279641798505,0.6882322221764647,0.03854741677819006,0.09483792027238759,0.025267939053578586,0.18464746534502602,0.053641076723076594,0.005963307226741719,0.005262002951477975,0.5091841027146338,0.15093311632303538,0.687726601346989,0.09431161104359723,0.3,0.48304589153964794,0.7363425220860147,0.028200885912114344,0.12333333333333332,0.13686300260290027,0.042499999999999996,0.10072652745594546,0.265,0.3118493225902535,0.0625,0.1131923142267177,0.0,0.5990277221970557
ALE/Pong-v5,a2c,resource_constraint,deterministic,120.0,0.0,-20.98333333333333,0.05270462766947449,0.07226494462892932,0.22852182001336813,0.9337253482608817,0.019252240927034134,0.03821195636250395,0.005615811857626944,0.08173945774323262,0.011435613027689086,0.004619105172411625,0.014424153485071237,0.32893901623161553,0.0010546157799625445,0.6766982125804593,0.056036814989475145,0.3,0.48304589153964794,0.6787719395508944,0.052548036043424146,0.04999999999999999,0.10452715401237099,0.005,0.015811388300841896,0.13999999999999999,0.282646225676001,0.005,0.015811388300841896,0.0,0.771548941543485
ALE/Pong-v5,ppo,resource_constraint,deterministic,120.0,0.0,-19.386666666666663,0.8072032956410826,2.120528207875801,0.7359269015990701,0.730814747561418,0.01201159424084529,0.06142878747122034,0.001972365005898059,0.12832384796906338,0.004887542279703886,0.03018441750838265,0.029180159929841874,0.32923362235289877,0.0009961044791798159,0.7174374439538056,0.0663318556743681,0.5,0.5270462766947299,0.7207995975534722,0.04581122290387013,0.20249999999999999,0.16992418425598435,0.0675,0.0979299636361506,0.4875,0.3983036948527258,0.052500000000000005,0.06286007388548703,1.0,0.7056981111587799
ALE/Pong-v5,ppo,resource_constraint,stochastic,120.0,0.0,-19.530833333333334,0.8151350906747807,1.8702068584249143,0.7353821766377724,0.7172643635010608,0.010767948814250097,0.05781586597449022,0.0031599326186782187,0.12073291615661652,0.008227054081587727,0.017544931195499817,0.02872555280211731,0.3292128703359279,0.001120283568403748,0.6959982271267668,0.05840336003316403,0.3,0.48304589153964794,0.7339088514055087,0.039591785053228384,0.15083333333333332,0.15247191605402347,0.024999999999999998,0.055277079839256664,0.39,0.4017669307778661,0.0375,0.0568257570707744,1.0,0.7274953999255834
ALE/Pong-v5,a2c,resource_constraint,stochastic,120.0,0.0,-20.057499999999997,0.3982881967298571,1.5228452166356319,0.3232349058910441,0.7091669558674241,0.028324274859023904,0.057160212230939936,0.0022860942852099037,0.12202169520699721,0.00500467838981571,0.00624909839950681,0.005544811005732842,0.330057535436033,0.001275170756492764,0.6988709741120317,0.06639812426341353,0.2,0.4216370213557839,0.7363425220860147,0.028200885912114344,0.1258333333333333,0.12585816532024366,0.042499999999999996,0.07075976571784592,0.29500000000000004,0.32011282733158664,0.039999999999999994,0.10941765041446568,0.0,0.6015418257270833
ALE/Pong-v5,ppo,trust_violation,deterministic,120.0,0.0,-19.268333333333334,0.7677106418629541,2.0982342338061013,0.6707944341845549,0.7101687927310631,0.012418841689981006,0.08985920016173943,0.005256537614892683,0.1891461544394986,0.011660963712079262,0.00928179407068596,0.015791784778215058,0.4832787290852926,0.0025665449221907253,0.7074455736475833,0.07601818674308382,0.5,0.5270462766947299,0.7207995975534722,0.04581122290387013,0.17916666666666667,0.1650032734430247,0.045,0.055025246730730594,0.4425,0.40569727356463436,0.05,0.08333333333333334,1.0,0.7078428360020848
ALE/Pong-v5,a2c,trust_violation,deterministic,120.0,0.0,-20.918333333333333,0.1042906669356218,0.22951028198415102,0.317746749489838,0.9211550557891816,0.020150009770792912,0.0560035889709972,0.0068254612609943265,0.11942666421801759,0.013994149846293517,0.007157594528695381,0.015756994527749184,0.4836223766854741,0.003776929759352425,0.7090400017081718,0.05887428422968066,0.5,0.5270462766947299,0.6787719395508944,0.052548036043424146,0.16999999999999998,0.15427048556366632,0.005,0.015811388300841896,0.495,0.44453471305524733,0.01,0.03162277660168379,0.0,0.6581352806840499
ALE/Pong-v5,ppo,trust_violation,stochastic,120.0,0.0,-19.241666666666667,0.7772617335680019,2.1355840349473434,0.669844506288744,0.6972288833076299,0.012214604051151169,0.08468781548411553,0.0060196725005227355,0.17909663260918038,0.01386276540382337,0.00836288550251829,0.020859218150060962,0.4831397758104517,0.002794525884439695,0.6911193452405421,0.06674972320932451,0.3,0.48304589153964794,0.7339088514055087,0.039591785053228384,0.1475,0.1463575235215396,0.017499999999999998,0.03343733774623146,0.39499999999999996,0.4037669845068784,0.03,0.05244044240850758,1.0,0.7149758858191965
ALE/Pong-v5,a2c,trust_violation,stochastic,120.0,0.0,-19.988333333333333,0.4078738911858814,1.505702659387603,0.31269152424640956,0.6905724614091983,0.0284585766790935,0.0822923303213485,0.003384135521719276,0.17605094999261828,0.007279645026028282,0.00451648859137291,0.008261680985067481,0.4830326570513166,0.002605462732988885,0.6862012443691989,0.09869373897767812,0.2,0.4216370213557839,0.7363425220860147,0.028200885912114344,0.13166666666666665,0.12277652085832239,0.045,0.0806225774829855,0.3,0.32253337467272714,0.05,0.1,0.0,0.589814853775059
ALE/Pong-v5,ppo,valence_inversion,deterministic,120.0,0.0,-6.4208333333333325,0.25435254284040987,18.351955416470922,0.6276700032142689,0.7726291805177021,0.013285495307983203,0.017454322545485852,0.0022153560058654734,0.01378758463561836,0.0029898755495906364,0.014498252390956649,0.017478152711004856,0.04459510329919257,0.003062356564383678,0.6859263920207181,0.0966116821285151,0.4,0.5163977794943222,0.7207995975534722,0.04581122290387013,0.04666666666666665,0.05374838498865698,0.027500000000000004,0.04322100826629979,0.075,0.08740073734751262,0.0375,0.05303300858899107,1.0,0.8524460492847362
ALE/Pong-v5,a2c,valence_inversion,deterministic,120.0,0.0,-7.0,0.0,19.79898987322333,0.0,0.9539654471096707,0.01564090096478941,0.01175488675552722,0.00025869659658160816,0.02401051415537856,0.0005022694608068168,0.053395620931987534,0.0011049911999562734,0.05454863635677374,0.00012705399672170337,0.7484378575860007,0.027847807558434707,0.7,0.48304589153964794,0.6787719395508944,0.052548036043424146,0.0375,0.11858541225631422,0.005,0.015811388300841896,0.1,0.31622776601683794,0.0075,0.023717082451262847,0.0,0.7946809959103189
