env,algo,eval_mode,robust_score,identity_mean,collapse_rate_shock,reward_norm
Acrobot-v1,ppo,deterministic,0.8505520280558535,0.7295751187431115,0.0,0.9952380849809468
Acrobot-v1,trpo,deterministic,0.8498905143646777,0.7271706593970304,0.0,0.999644344642073
Acrobot-v1,ppo,stochastic,0.8467899593584781,0.723186554017566,0.0,0.9935823643254457
Acrobot-v1,trpo,stochastic,0.8465660936827887,0.7214269384932658,0.0,0.9985418500766166
Acrobot-v1,a2c,stochastic,0.7759949434068872,0.7267673522079788,0.0,0.5084859979499926
Acrobot-v1,a2c,deterministic,0.7736555574498185,0.7326509226721947,0.0,0.47131699986740977
Acrobot-v1,dqn,deterministic,0.6829041478726188,0.6961893597683978,0.0,0.0
Acrobot-v1,dqn,stochastic,0.6781785708666846,0.6875974015757903,0.0,0.0
CartPole-v1,trpo,deterministic,0.7250716057685246,0.6833120104882281,0.3358333333333334,0.9999999999999941
CartPole-v1,ppo,deterministic,0.7243963876086529,0.6827795101641986,0.33499999999999996,0.9957843801222911
CartPole-v1,trpo,stochastic,0.7210092237931454,0.6750167705329931,0.33416666666666667,0.9999999999999941
CartPole-v1,ppo,stochastic,0.7174915914971355,0.6696561603702665,0.33499999999999996,0.997871355289926
CartPole-v1,a2c,stochastic,0.6991948855222606,0.6789425041050206,0.27999999999999997,0.7318433884299943
CartPole-v1,a2c,deterministic,0.6881853302679956,0.6618412800722177,0.2875,0.7361508415218392
CartPole-v1,dqn,stochastic,0.6415009255027653,0.673638046368664,0.09666666666666666,0.0
CartPole-v1,dqn,deterministic,0.6390427829668884,0.6696232417579789,0.09749999999999999,0.0
MountainCar-v0,dqn,deterministic,0.8703610215927968,0.7642927665324414,0.0,0.9999999999996931
MountainCar-v0,dqn,stochastic,0.8597656350458293,0.7450284273561455,0.0,0.9999999999996613
MountainCar-v0,a2c,deterministic,0.729820549070078,0.7814919074001416,0.0,0.0
MountainCar-v0,trpo,deterministic,0.729820549070078,0.7814919074001416,0.0,0.0
MountainCar-v0,ppo,deterministic,0.7290187360772865,0.7800340655950663,0.0,0.0
MountainCar-v0,trpo,stochastic,0.7190731610734029,0.7615299364701359,0.0,0.0015446400988547036
MountainCar-v0,ppo,stochastic,0.7013296997391595,0.7296903631621081,0.0,0.0
MountainCar-v0,a2c,stochastic,0.6839221720016998,0.6976190472488574,0.0,0.0015446400988547036
MountainCarContinuous-v0,ddpg,stochastic,0.920486278976858,0.8554295981402276,0.0,0.9999999999982191
MountainCarContinuous-v0,td3,stochastic,0.916178667890316,0.8550738215443597,0.0,0.9725871069394545
MountainCarContinuous-v0,trpo,deterministic,0.9099658695844709,0.8367561265172837,0.0008333333333333334,0.9999999999997654
MountainCarContinuous-v0,a2c,stochastic,0.848864348373898,0.8121930434618584,0.0,0.681054496465839
MountainCarContinuous-v0,sac,stochastic,0.7777233162245495,0.7938818933705476,0.0,0.2739218324716555
MountainCarContinuous-v0,a2c,deterministic,0.7712897111010931,0.8554839283179114,0.0,0.005157003508279284
MountainCarContinuous-v0,sac,deterministic,0.7712558923375626,0.8554186355433909,0.0,0.005170951924651182
MountainCarContinuous-v0,ppo,deterministic,0.771218442641458,0.8554004906603646,0.0,0.00498781852171603
MountainCarContinuous-v0,ddpg,deterministic,0.7710730761709729,0.8554229739496324,0.0,0.003936269991166692
MountainCarContinuous-v0,td3,deterministic,0.7702890273433094,0.8550709588060169,0.0,0.0
MountainCarContinuous-v0,ppo,stochastic,0.7679746451182604,0.7919558735081278,0.0,0.2159927645919347
MountainCarContinuous-v0,trpo,stochastic,0.6943901780103107,0.690735845487202,0.005,0.10656975328233013
Pendulum-v1,sac,deterministic,0.7211150969849531,0.5655578402080458,0.13083333333333333,0.9953885658035198
Pendulum-v1,trpo,deterministic,0.7203639653414156,0.6129941518537524,0.006666666666666667,0.5681145454790119
Pendulum-v1,td3,deterministic,0.7037193005503234,0.5113510564539595,0.09166666666666667,0.999841463337638
Pendulum-v1,td3,stochastic,0.6996104453477656,0.5129280824504834,0.10833333333333334,0.9999999999999987
Pendulum-v1,ppo,deterministic,0.6949777338682804,0.5935061278395826,0.027499999999999997,0.5119957570433994
Pendulum-v1,ddpg,deterministic,0.6903511992813995,0.487207988954713,0.09000000000000001,0.9959120357087157
Pendulum-v1,ddpg,stochastic,0.6863349388784687,0.48545975448366957,0.09999999999999999,0.9955471594163362
Pendulum-v1,sac,stochastic,0.675095107325653,0.44885508080005176,0.07166666666666667,0.9981654192374977
Pendulum-v1,trpo,stochastic,0.6083520387314729,0.42456200133424943,0.010000000000000002,0.5189529199842383
Pendulum-v1,a2c,deterministic,0.6053052963035983,0.560100538733815,0.009166666666666668,0.0
Pendulum-v1,ppo,stochastic,0.5922883420987012,0.40879802370297885,0.014166666666666668,0.4779961937470853
Pendulum-v1,a2c,stochastic,0.5423561995042098,0.44428399909856314,0.006666666666666665,0.0
